¿Cómo se organiza la data en un hard disk drive?;La data se organiza en círculos concéntricos llamados tracks.;BBDD::indexacion
¿Qué son los tracks en un hard disk drive?;Los tracks son círculos concéntricos donde se graba la data.;BBDD::indexacion
¿Cómo se dividen los tracks?;Se dividen en sectores.;BBDD::indexacion
¿Qué son los sectores en un hard disk drive?;Los sectores son las unidades más pequeñas de data.;BBDD::indexacion
¿Cómo se agrupan los sectores?;Se agrupan en blocks para la transferencia de data.;BBDD::indexacion
¿Cuál es la idea principal del almacenamiento de registros de longitud fija?;La idea principal es almacenar el registro *i* comenzando en el byte *n* (*i* -1).;BBDD::indexacion
¿Por qué se asegura que cada registro quepa dentro de un solo block?;Para evitar accesos adicionales.;BBDD::indexacion
¿Cuáles son los dos enfoques para manejar la eliminación de registros en un archivo?;1) Desplazamiento de registros. 2) Listas enlazadas.;BBDD::indexacion
¿Qué implica el desplazamiento de registros?;Mover registros subsiguientes para llenar el espacio creado.;BBDD::indexacion
¿Qué implica el uso de listas enlazadas?;Enlazar espacios libres usando punteros sin mover registros.;BBDD::indexacion
¿Cuál es la diferencia entre la organización de archivos heap y secuencial?;La organización heap permite colocar registros en cualquier lugar.;BBDD::indexacion
¿Cómo se almacena la organización secuencial?;Se almacena en un orden específico basado en una clave de búsqueda.;BBDD::indexacion
¿Por qué puede ser ineficiente la organización de archivos secuencial para consultas con natural join?;Requiere recorrer todo el archivo en el orden especificado.;BBDD::indexacion
¿Cuál es el propósito de un index en una base de datos?;Mejorar la velocidad de recuperación de datos.;BBDD::indexacion
¿Qué se requiere al usar un index?;Requiere espacio adicional y debe actualizarse con cada modificación de la data.;BBDD::indexacion
¿Cuál es la diferencia entre un dense index y un sparse index?;Un dense index tiene una entrada para cada valor de clave de búsqueda.;BBDD::indexacion
¿Qué tiene un sparse index?;Tiene entradas solo para un subconjunto de esos valores.;BBDD::indexacion
¿Por qué los secondary indexes son siempre densos?;Porque requieren una entrada para cada valor posible.;BBDD::indexacion
¿Qué es un multilevel index?;Es un índice a otro índice.;BBDD::indexacion
¿Por qué se utiliza un multilevel index?;Para mejorar el rendimiento de búsqueda.;BBDD::indexacion
¿Qué es un track en el contexto de un disco duro?;Un track es un camino circular en un disco donde se graba la data.;BBDD::indexacion
¿Qué es un sector en un disco duro?;Un sector es una subdivisión de un track.;BBDD::indexacion
¿Qué es un block en el contexto de un disco duro?;Un block es una secuencia contigua de sectors.;BBDD::indexacion
¿Qué caracteriza a la organización de archivos heap?;Se caracteriza por almacenar registros sin un orden particular.;BBDD::indexacion
